特征,相关性,绝对相关性
起火物_太阳能板,0.0016690064149379505,0.0016690064149379505
引火源_切割火星,0.0016690064149379503,0.0016690064149379503
起火物_空气压缩机,0.00166900641493795,0.00166900641493795
起火物_收银台,0.0016690064149379492,0.0016690064149379492
起火物_保温板,0.0016690064149379482,0.0016690064149379482
起火物类型_电动四轮车,0.0016690064149379477,0.0016690064149379477
起火物_摩托车,0.0016690064149379466,0.0016690064149379466
起火物_荒草,0.001669006414937941,0.001669006414937941
起火物_植被,0.001669006414937939,0.001669006414937939
起火物_椅子,0.001669006414937939,0.001669006414937939
引火源_音响,0.0016690064149379386,0.0016690064149379386
起火物类型_秸秆,0.0016690064149379373,0.0016690064149379373
起火物_废旧纸皮杂物,0.0016690064149379367,0.0016690064149379367
起火位置_体育场馆,0.0016690064149379364,0.0016690064149379364
起火位置_门诊区,0.001669006414937936,0.001669006414937936
起火物_跑步机,0.0016690064149379356,0.0016690064149379356
起火物_酒精,0.0016690064149379332,0.0016690064149379332
引火源_锂电池故障,0.001669006414937932,0.001669006414937932
起火物_鼓风机,0.001669006414937931,0.001669006414937931
起火物类型_建筑内墙,0.00166900641493793,0.00166900641493793
引火源_烧水壶,0.0016690064149379293,0.0016690064149379293
起火位置_船舶,0.0016690064149379286,0.0016690064149379286
引火源_微波炉,0.0016690064149379278,0.0016690064149379278
引火源_电动车蓄电池,0.0016690064149379271,0.0016690064149379271
起火物_废弃电池,0.0016690064149379254,0.0016690064149379254
起火物_树枝树叶,0.001669006414937922,0.001669006414937922
起火位置_农副业场所,0.0016690064149379178,0.0016690064149379178
起火物_废弃物,0.0016690064149379128,0.0016690064149379128
起火位置_厨房、操作间,0.0016690064149379106,0.0016690064149379106
起火物_草垛,0.00166900641493791,0.00166900641493791
起火物_油,0.00166900641493791,0.00166900641493791
起火物_喷淋塔,0.0016690064149379046,0.0016690064149379046
起火物_插座线路,0.0016690064149379044,0.0016690064149379044
起火物_废旧家具,0.0016690064149379022,0.0016690064149379022
起火物_枯叶,0.0016690064149379,0.0016690064149379
起火物_燃油汽车发动机舱,0.0016690064149378998,0.0016690064149378998
起火物_家电,0.0016690064149378994,0.0016690064149378994
起火物_蚊香,-0.0016579940718590884,0.0016579940718590884
起火物类型_杂项危险物质和物品,-0.0016551447284298025,0.0016551447284298025
起火物_燃油货车,-0.0016094534248467817,0.0016094534248467817
起火位置_底部（除电池包外）,0.001609432483255994,0.001609432483255994
起火位置_在建建构筑物,0.001604365732022071,0.001604365732022071
起火物_充电器,0.0015949415318113362,0.0015949415318113362
起火物_烧烤架,-0.0015938548870122508,0.0015938548870122508
起火物_煤气软管,-0.0015938548870122484,0.0015938548870122484
起火物_纸张,-0.001593854887012246,0.001593854887012246
起火物_纸壳,-0.0015938548870122438,0.0015938548870122438
起火物_抽烟机,-0.0015938548870122323,0.0015938548870122323
